matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6732908598,4,3,21,-1,1,-1,1,0,0,-6,33,-11,6,1
KR_6751907975,-7,-5,-19,1,1,-1,1,0,-2,-8,12,8,6,1
KR_6743270252,6,1,0,-1,1,-1,1,0,2,1,-24,4,6,1
KR_6750876848,70,26,10,1,0,0,-1,1,7,0,82,0,0,1
KR_6747735893,10,4,46,1,-1,-1,1,0,3,9,0,-27,1,1
KR_6745492450,-8,-4,-5,1,1,1,1,0,-1,-3,6,4,4,1
KR_6734624203,8,0,-38,-1,1,1,1,0,1,-6,-54,1,6,1
KR_6747874875,13,38,157,1,0,1,1,0,5,0,12,12,0,1
KR_6749983024,-25,-5,47,1,0,0,1,1,-2,-27,38,0,0,1
KR_6746723104,8,14,-19,1,1,1,0,0,5,-3,7,17,6,1
KR_6751819394,11,8,53,-1,1,1,1,0,3,-2,11,9,3,1
KR_6747892991,-2,-1,48,-1,-1,-1,0,0,-1,-3,-8,-17,6,1
KR_6750467659,97,16,23,-1,0,0,1,1,6,0,0,0,0,1
KR_6748175568,27,19,78,1,0,1,1,0,10,-3,4,39,0,1
KR_6722975142,0,-1,47,-1,-1,1,0,0,2,-6,33,-8,5,1
KR_6750469957,44,9,13,1,0,0,1,1,0,0,16,0,0,1
KR_6710379807,45,15,43,-1,0,0,1,0,3,5,-77,0,0,1
KR_6744537138,24,13,-70,-1,1,1,1,0,2,1,-8,-8,5,1
KR_6738475094,13,7,53,1,1,1,1,0,5,-9,9,24,1,1
KR_6747296766,11,9,-15,-1,-1,1,1,0,2,-6,6,-34,4,1
KR_6749659619,21,21,85,1,1,0,1,0,8,3,16,33,1,1
KR_6746265086,9,7,-17,-1,1,-1,1,0,1,12,-5,8,5,1
KR_6715163207,18,15,60,1,1,1,1,0,9,3,-4,36,3,1
KR_6736328743,11,6,34,1,-1,-1,-1,0,-1,7,0,-17,4,1
KR_6749750447,6,4,34,-1,1,1,1,0,1,10,-4,-3,2,1
KR_6745357204,18,12,16,-1,1,-1,-1,0,2,-7,42,5,2,1
