matchId,queueId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6731860093,420,17,13,23,-1,-1,1,1,0,5,2,-31,24,4,1
KR_6749510736,420,5,10,100,1,1,-1,1,0,7,-3,52,-4,5,1
KR_6744043796,420,-2,0,14,-1,-1,1,1,0,0,-1,-30,7,4,1
KR_6746665728,420,-10,-5,-17,-1,1,-1,0,0,1,-7,8,11,2,1
KR_6728621329,420,9,10,25,-1,1,-1,0,0,2,4,28,-39,6,1
KR_6724602802,420,2,3,5,-1,-1,1,1,0,3,4,-17,32,2,1
KR_6730911180,420,2,-1,14,1,1,1,1,0,3,2,-18,44,6,1
KR_6749619406,420,7,1,16,-1,1,-1,-1,0,2,4,-2,-3,6,1
KR_6742593130,420,6,8,-25,1,-1,1,1,0,2,-1,24,15,6,1
KR_6746741106,420,-5,4,-2,1,1,1,1,0,2,1,-5,0,5,1
KR_6748776691,420,-8,-4,-42,-1,1,1,-1,0,-3,1,-1,-16,2,1
KR_6743429262,420,2,-4,-17,1,1,1,1,0,-1,-3,7,42,3,1
KR_6745998846,450,45,12,-1,1,0,0,1,1,3,0,0,0,0,1
KR_6749732045,420,7,9,-45,1,-1,1,1,0,4,0,32,31,6,1
KR_6729007301,420,23,12,52,1,1,1,1,0,8,2,37,-7,2,1
KR_6751273890,430,6,5,-53,1,1,-1,-1,0,1,-1,-3,-40,4,1
KR_6731793619,420,0,2,14,-1,1,-1,1,0,1,-1,4,11,2,1
KR_6739593616,420,-9,-5,7,-1,1,-1,-1,0,-3,-2,8,5,6,1
KR_6736610437,420,28,20,50,-1,0,1,1,0,8,7,16,38,0,1
KR_6751164112,450,-17,-10,13,-1,0,0,-1,0,-2,0,0,0,0,1
KR_6738621010,420,6,5,68,-1,1,-1,1,0,3,-5,13,-32,6,1
KR_6746694495,420,-24,-10,-17,-1,-1,1,1,0,-2,-4,-8,30,3,1
KR_6747343062,420,3,1,96,-1,1,-1,1,0,3,-2,48,-9,5,1
KR_6734563527,440,-5,3,59,1,-1,1,0,0,3,-1,5,0,1,1
KR_6750647278,700,34,22,50,1,1,1,1,0,7,1,3,43,6,1
KR_6747758205,420,13,10,91,-1,-1,1,1,0,5,0,9,-8,5,1
KR_6752139822,420,8,3,28,1,1,-1,0,0,3,3,-12,3,5,1
KR_6740076427,420,12,0,-41,-1,-1,-1,-1,0,0,-3,-3,-28,4,1
KR_6736918412,420,11,18,56,-1,1,1,1,0,5,0,13,21,3,1
KR_6738243935,420,6,5,17,-1,-1,-1,1,0,2,0,5,-18,6,1
KR_6749489167,420,2,3,26,1,1,1,1,0,4,-4,-19,20,6,1
KR_6742798865,420,18,13,68,1,1,1,1,0,5,6,-3,-1,5,1
KR_6742617675,450,76,28,1,1,0,0,1,1,6,-1,50,0,0,1
KR_6746411016,430,7,-1,-156,-1,-1,-1,-1,0,-1,-2,0,7,3,1
KR_6747005801,420,3,3,43,1,1,1,1,0,2,12,-8,26,3,1
KR_6741679760,440,5,1,-24,-1,-1,1,-1,0,1,-2,33,-5,2,1
KR_6713625571,420,-7,1,20,-1,1,1,1,0,2,-5,5,16,6,1
KR_6743900927,420,12,11,73,1,1,-1,-1,0,6,10,32,19,3,1
