matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6683511714,420,-4,-15,-23,-5,3,4,1,-5,4,9,-2,2,4,1,2,1,-2,0,2,0,0,13,3,2,5,-1,0,-1,1,-1,-1,-1,3,1
KR_6644578561,420,-1,16,-8,-2,-3,0,3,-3,1,4,-1,2,3,4,4,0,1,2,1,0,1,174,1,5,6,0,0,1,1,1,1,-1,5,1
KR_6669325511,420,-5,-42,-36,-10,-1,2,3,-6,3,9,-3,1,4,0,3,3,0,1,1,0,-6,0,5,4,9,-5,0,0,-1,1,-1,-1,6,1
KR_6758151718,420,4,17,28,14,0,0,0,3,3,0,11,11,0,1,5,4,-1,2,3,1,4,27,0,5,5,0,0,1,-1,1,1,1,2,1
KR_6754473014,420,-3,-51,-28,-9,-2,1,3,-1,3,4,-4,3,7,-3,1,4,1,1,0,0,-11,5,-7,9,2,1,0,-1,-1,-1,-1,1,4,1
KR_6730480350,420,5,75,14,20,2,2,0,4,6,2,0,0,0,10,11,1,4,5,1,0,17,-3,-1,7,6,8,0,2,1,1,1,1,2,1
KR_6710155919,440,3,-6,18,8,1,3,2,0,2,2,5,7,2,2,7,5,0,1,1,0,17,-27,-2,6,4,6,0,0,1,-1,-1,-1,1,1
KR_6680186803,420,3,110,5,12,10,10,0,0,2,2,-1,2,3,6,8,2,-3,2,5,1,9,-42,-2,5,3,30,0,3,1,1,1,1,6,1
KR_6762244757,420,0,28,24,-4,-1,0,1,0,2,2,-2,3,5,2,4,2,-3,0,3,0,-5,-31,2,2,4,-4,0,1,1,-1,1,-1,6,1
KR_6708310039,420,-3,-41,0,-6,1,1,0,-5,2,7,0,0,0,-1,1,2,-1,0,1,0,-8,-27,0,6,6,0,0,0,-1,-1,0,-1,6,1
KR_6736540805,420,5,-27,4,13,0,1,1,1,3,2,7,9,2,1,2,1,4,4,0,0,15,-13,2,3,5,-1,0,0,1,1,0,1,1,1
KR_6760497698,440,7,41,28,10,2,3,1,3,3,0,4,7,3,0,3,3,1,3,2,1,18,3,0,4,4,2,0,0,-1,-1,1,1,1,1
KR_6764271256,420,2,-22,28,7,5,6,1,2,4,2,4,5,1,-6,0,6,2,3,1,1,0,2,-1,3,2,-6,0,1,-1,1,1,1,1,1
KR_6659966974,420,-1,10,-27,-5,-2,2,4,1,4,3,-2,2,4,0,2,2,-2,0,2,0,-1,12,5,2,7,0,0,-1,-1,1,-1,1,6,1
KR_6670315121,420,-1,-68,4,0,-2,0,2,3,6,3,2,2,0,-3,2,5,0,3,3,0,-1,-9,-2,8,6,3,0,-1,1,-1,-1,-1,2,1
KR_6763542846,440,3,55,33,6,2,3,1,4,4,0,8,9,1,-8,1,9,0,3,3,0,1,-10,4,2,6,-1,0,0,1,0,-1,1,2,1
KR_6669905325,420,4,12,23,6,3,6,3,0,3,3,0,2,2,1,2,1,2,2,0,0,2,16,-3,6,3,-5,0,0,1,-1,-1,-1,5,1
KR_6763317350,420,-1,12,8,-3,-4,0,4,1,1,0,-2,0,2,0,1,1,2,2,0,0,3,2,-6,8,2,2,0,0,1,-1,-1,-1,3,1
KR_6740798984,420,0,-15,1,-8,3,3,0,0,1,1,0,1,1,-1,3,4,-10,0,10,0,-9,-19,-3,6,3,2,0,0,-1,0,-1,-1,3,1
KR_6706471175,420,3,59,17,5,-2,1,3,-1,1,2,2,3,1,5,5,0,1,2,1,0,5,6,3,4,7,1,0,1,1,0,1,1,6,1
KR_6744226383,420,0,39,14,8,-1,1,2,8,8,0,-1,4,5,3,5,2,-1,1,2,0,4,4,0,6,6,2,0,2,1,1,1,1,6,1
KR_6753728487,420,0,3,12,-2,3,4,1,-1,2,3,-1,1,2,-1,3,4,-2,0,2,1,-9,-7,1,2,3,1,0,0,1,1,1,1,5,1
KR_6696595539,420,3,48,10,7,2,3,1,0,1,1,-5,0,5,10,11,1,0,1,1,0,7,11,5,0,5,-2,0,2,1,1,1,1,3,1
