matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6765087021,420,5,113,8,8,4,4,0,1,3,2,2,3,1,3,3,0,-2,0,2,0,9,-13,2,2,4,6,0,2,1,1,1,1,2,1
KR_6767429528,420,5,-36,24,15,7,8,1,6,6,0,3,5,2,-1,1,2,0,1,1,0,11,1,4,1,5,-9,0,0,1,1,1,1,5,1
KR_6708172379,440,0,-12,-4,0,0,2,2,3,6,3,-5,0,5,4,6,2,-2,1,3,0,0,-7,-2,5,3,4,0,0,-1,-1,0,-1,1,1
KR_6724145001,440,0,-47,4,3,-1,1,2,5,5,0,-3,0,3,2,5,3,0,0,0,0,10,-257,5,3,8,-1,0,-1,1,-1,-1,1,6,1
KR_6481113218,420,2,14,-4,7,0,2,2,7,7,0,-5,0,5,2,5,3,3,3,0,0,15,0,0,6,6,1,0,0,1,-1,0,1,5,1
KR_6711080303,420,5,61,18,13,4,4,0,2,3,1,1,1,0,4,4,0,2,2,0,0,10,10,4,2,6,0,0,3,-1,1,1,1,5,1
KR_6759203403,420,7,65,11,20,5,8,3,3,3,0,5,7,2,3,3,0,4,4,0,0,12,13,-1,4,3,1,0,2,0,1,1,1,0,1
KR_6760759756,440,1,6,12,1,0,2,2,-3,0,3,5,5,0,-2,0,2,1,1,0,0,2,4,5,1,6,-1,0,0,-1,-1,0,1,2,1
KR_6755347446,420,0,25,0,2,5,5,0,-2,0,2,3,5,2,-4,0,4,0,0,0,1,-17,2,0,4,4,0,0,0,0,0,0,1,0,1
KR_6760192477,420,1,-27,-13,0,-3,0,3,1,5,4,4,4,0,-2,0,2,0,0,0,0,-3,2,3,3,6,-3,0,1,0,-1,1,-1,0,1
KR_6722568654,420,1,55,-15,-4,-2,1,3,5,6,1,1,3,2,-4,2,6,-4,1,5,-2,-16,-7,-1,5,4,4,0,1,-1,1,1,-1,6,1
KR_6765431890,420,-3,41,8,-5,-1,1,2,0,1,1,2,5,3,-4,4,8,-2,0,2,1,-17,26,-2,5,3,1,0,0,-1,0,-1,1,3,1
KR_6753480798,420,6,41,43,1,1,2,1,3,5,2,-7,0,7,2,3,1,2,2,0,0,5,-235,5,0,5,4,0,2,-1,1,1,1,2,1
KR_6619708179,420,2,18,3,6,5,5,0,-3,2,5,2,2,0,0,4,4,2,7,5,0,7,6,1,5,6,0,0,2,-1,1,1,-1,3,1
