matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6351412596,420,0,4,21,-5,0,3,3,3,2,5,-4,6,2,-4,7,3,0,0,0,0,-7,0,-6,-3,9,0,0,-1,1,-1,-1,1,6,-1
KR_6763172569,420,0,-30,-4,-4,-4,4,0,-3,7,4,2,0,2,-1,1,0,2,0,2,0,2,-10,-3,-4,7,-6,0,-1,-1,1,-1,1,5,-1
KR_6750162883,420,-1,3,-7,-5,-2,2,0,1,2,3,-2,4,2,1,3,4,-3,4,1,0,-2,-203,10,-11,1,-4,0,0,-1,1,0,-1,6,-1
KR_6732860687,420,-4,-115,-35,-5,-3,3,0,-3,3,0,-3,5,2,3,3,6,1,1,2,0,0,-22,-4,-3,7,-3,0,-2,1,-1,-1,-1,5,-1
KR_6771899760,420,-2,-90,-13,-2,4,0,4,2,1,3,-1,1,0,-5,5,0,-2,2,0,0,-5,-5,-2,-4,6,0,0,-1,-1,1,1,1,2,-1
KR_6767554989,420,0,90,16,-7,1,0,1,0,3,3,-4,4,0,-3,4,1,-1,1,0,0,-13,-2,1,-5,4,1,0,-1,1,-1,-1,1,3,-1
KR_6771877578,440,-3,6,0,-5,-2,3,1,-2,2,0,3,0,3,-1,1,0,-3,3,0,0,-3,-5,0,-6,6,0,0,0,-1,-1,0,1,1,-1
KR_6767950748,440,1,55,56,-9,-2,3,1,-1,8,7,0,1,1,-2,2,0,-4,5,1,0,-8,37,-1,-2,3,0,0,0,1,-1,1,-1,5,-1
KR_6702244759,420,-4,-14,-27,-8,2,3,5,-4,5,1,-2,2,0,-5,6,1,1,0,1,-3,-20,-2,-2,-4,6,-2,0,0,-1,1,0,-1,4,-1
KR_6761644178,440,0,-7,16,2,1,0,1,2,1,3,1,2,3,-2,5,3,0,0,0,0,4,182,4,-8,4,2,0,-1,1,1,-1,-1,3,-1
KR_6738885976,420,1,56,-12,6,8,0,8,-2,3,1,-4,6,2,3,0,3,1,1,2,-1,-1,-2,2,-6,4,3,0,2,1,0,1,-1,4,-1
KR_6671318501,420,-1,-34,-18,3,5,0,5,2,1,3,4,1,5,-8,8,0,0,0,0,0,-7,-5,-6,-1,7,0,0,1,1,1,1,1,4,-1
KR_6768338147,440,-4,-39,58,-7,0,2,2,1,1,2,-1,3,2,-3,6,3,-4,5,1,0,-1,20,0,-5,5,-7,0,0,1,-1,0,1,2,-1
KR_6763332179,420,0,62,-21,-3,0,1,1,2,2,4,-4,5,1,-1,4,3,0,1,1,0,-4,108,4,-5,1,-2,0,0,-1,-1,0,-1,2,-1
KR_6769444664,420,-1,-36,17,1,2,2,4,-3,4,1,-2,4,2,2,0,2,2,1,3,0,-1,-29,-3,-6,9,-4,0,-1,1,-1,-1,1,3,-1
KR_6661966923,420,-1,-11,-15,-7,0,2,2,-1,3,2,2,1,3,-5,5,0,-3,3,0,0,-9,-2,0,-8,8,-2,0,-3,-1,-1,-1,-1,4,-1
KR_6760618206,440,-3,-33,-16,-2,3,0,3,2,2,4,-5,8,3,-1,5,4,-1,2,1,0,3,-34,-2,-4,6,12,0,-2,-1,-1,-1,1,2,-1
